  40    0.000203437916169    0.000205853088791    0.000225915734475 -37.6  -6.0
  39    0.002333259513758    0.002343152304515    0.002425330925626 -37.0  -6.3
  38   -0.016507340186481   -0.016691228686118   -0.018218775736237 -36.7  -5.7
  37    0.556850135992859    0.558366241570296    0.570960409270043 -37.1  -6.5
  36   -0.154671468414419   -0.155469178004920   -0.162095687733515 -36.3  -5.2
  35   -0.163275765610845   -0.164139438817930   -0.171313903030502 -36.4  -5.1
  34   -0.164643039839350   -0.165514393748720   -0.172752660940498 -37.2  -5.1
  33   -0.164857019592027   -0.165729888579289   -0.172980741401870 -35.9  -5.1
  32   -0.164882488350478   -0.165755498088067   -0.173007520112344 -35.9  -5.1
  31   -0.164885072868700   -0.165758098885078   -0.173010256135956 -36.0  -5.1
  30   -0.164885141920649   -0.165758168114521   -0.173010326839823 -36.5  -5.1
  29   -0.164885158684459   -0.165758184980139   -0.173010344551153 -36.6  -5.1
  28   -0.164885162089268   -0.165758188403232   -0.173010348126141 -35.9  -5.1
  27   -0.164885162442801   -0.165758188757707   -0.173010348488438 -35.2  -5.1
  26   -0.164885163928197   -0.165758190239118   -0.173010349936737 -33.2  -5.1
  25   -0.164885178780516   -0.165758205051526   -0.173010364417612 -31.2  -5.1
  24   -0.164885327262866   -0.165758353134709   -0.173010509184953 -29.2  -5.1
  23   -0.164886810399983   -0.165759832284666   -0.173011955213889 -27.2  -5.1
  22   -0.164901475400789   -0.165774457861201   -0.173026253296158 -25.3  -5.1
  21   -0.165033197195268   -0.165905825550809   -0.173154679464941 -23.3  -5.1
  20   -0.165653995988920   -0.166524955591109   -0.173759947304693 -21.9  -5.1
  19   -0.166209346698915   -0.167078813210622   -0.174301401941070 -21.4  -5.1
  18   -0.166314519808786   -0.167183704333175   -0.174403950617533 -21.3  -5.1
  17   -0.166339796591255   -0.167208862132386   -0.174428120032337 -20.3  -5.1
  16   -0.166466343277078   -0.167334615856287   -0.174547286685010 -18.4  -5.1
  15   -0.167036422743190   -0.167901198909517   -0.175084825316251 -17.0  -5.1
  14   -0.167606621923358   -0.168469280129971   -0.175635312814864 -16.2  -5.1
  13   -0.168185693922422   -0.169051879888077   -0.176247217385080 -15.0  -5.1
  12   -0.168632006907680   -0.169501715060342   -0.176726311083582 -14.5  -5.1
  11   -0.168714203961372   -0.169584567000082   -0.176814603115705 -14.4  -5.1
  10   -0.168728625606560   -0.169599063424586   -0.176829720789792 -13.6  -5.1
   9   -0.168765240294876   -0.169635711635194   -0.176866648097274 -12.0  -5.1
   8   -0.168839386845210   -0.169709964670202   -0.176941791834702 -10.9  -5.1
   7   -0.169004226660562   -0.169875283177981   -0.177111144943434  -9.4  -5.1
   6   -0.169292595011611   -0.170164307930027   -0.177406149373647  -8.3  -5.1
   5   -0.169756829642220   -0.170628595738556   -0.177875389418652  -7.0  -5.1
   4   -0.170732849802107   -0.171623808061716   -0.179065595088445  -5.5  -4.8
   3   -0.174815164391807   -0.175931561143514   -0.185557094861026  -3.7  -3.6
   2    0.864434498397116    0.882410625796771    1.033649093682241  -2.2  -2.2
   1   81.779475313983814   85.477448442428737  111.265333656304099  -1.9  -1.9
   0  922.014700565418487  985.435781270354853 1261.129060565521846  -1.9  -1.9
